race_id,race_name,race_date,reported_finishers,latitude,longitude,timezone,start_time_local,location_source,review_status
m23r_0e6f22d29c4a,Summer Camp Series - Day 5,2023-07-19,13,,,,,,unresolved
m23r_4893b29bd6a7,Alaska Series - Day 4,2023-07-28,12,,,,,,unresolved
m23r_1f81eb09ed8a,Savage Seven Marathon Day 6,2023-01-01,12,,,,,,unresolved
m23r_42b4a65df0c5,Summer Camp Series - Day 4,2023-07-18,12,,,,,,unresolved
m23r_ece113ae9491,Surfside Beach Marathon,2023-02-18,12,,,,,,unresolved
m23r_4645ad995543,Hatcher Pass Marathon,2023-08-05,11,,,,,,unresolved
m23r_d2bfa5384596,Mountain Magic Marathon,2023-06-18,10,,,,,,unresolved
m23r_657cb6981421,Rock Creek Scenic City Trail Marathon,2023-05-13,10,,,,,,unresolved
m23r_41af8d51df39,Saddleback Marathon,2023-11-11,10,,,,,,unresolved
m23r_a196134eb130,Monster Trail Marathon,2023-09-03,9,,,,,,unresolved
m23r_af7231410cd9,Napa Valley Trail Marathon,2023-03-18,9,,,,,,unresolved
m23r_2cf21e3a7231,Run The Rock Marathon,2023-10-14,7,,,,,,unresolved
m23r_13b292496f95,American Heroes Run,2023-09-09,5,,,,,,unresolved
m23r_a479c716f96d,Oregon Trail Run,2023-10-21,5,,,,,,unresolved
m23r_5d765d0905eb,Free State Trail Marathon,2023-10-28,2,,,,,,unresolved
